time,hex,callsign,latitude,longitude,no_position,altitude,squawk,ground speed,track,vertical speed
2020-01-26 17:42:32Z.148,0xa9a1ad,N72EX,34.17686,-118.59405,P,1175,1200,145,221,0
2020-01-26 17:42:32Z.510,0xa9a1ad,N72EX,34.17668,-118.59428,P,1175,1200,144,222,64
2020-01-26 17:42:33Z.460,0xa9a1ad,N72EX,34.17572,-118.5954,P,1200,1200,145,223,64
2020-01-26 17:42:34Z.344,0xa9a1ad,N72EX,34.17535,-118.59584,P,1200,1200,143,226,64
2020-01-26 17:42:34Z.704,0xa9a1ad,N72EX,34.17517,-118.59612,P,1175,1200,143,226,64
2020-01-26 17:42:34Z.802,0xa9a1ad,N72EX,34.17535,-118.59584,P,1200,1200,143,226,64
2020-01-26 17:42:35Z.702,0xa9a1ad,N72EX,34.17517,-118.59612,P,1175,1200,143,226,0
2020-01-26 17:42:35Z.748,0xa9a1ad,N72EX,34.17498,-118.59638,P,1175,1200,144,224,192
2020-01-26 17:42:37Z.064,0xa9a1ad,N72EX,34.17416,-118.59758,P,1200,1200,143,232,64
2020-01-26 17:42:37Z.558,0xa9a1ad,N72EX,34.17395,-118.59793,P,1175,1200,143,232,64
2020-01-26 17:42:38Z.384,0xa9a1ad,N72EX,34.17367,-118.59844,P,1200,1200,142,232,64
2020-01-26 17:42:39Z.492,0xa9a1ad,N72EX,34.17329,-118.59915,P,1200,1200,141,237,256
2020-01-26 17:42:40Z.520,0xa9a1ad,N72EX,34.17297,-118.59982,P,1200,1200,140,239,320
2020-01-26 17:42:40Z.782,0xa9a1ad,N72EX,34.17297,-118.59982,P,1200,1200,140,239,320
2020-01-26 17:42:40Z.922,0xa9a1ad,N72EX,34.17311,-118.59947,P,1200,1200,140,238,320
2020-01-26 17:42:41Z.664,0xa9a1ad,N72EX,34.1726,-118.60062,P,1200,1200,140,239,320
2020-01-26 17:42:43Z.986,0xa9a1ad,N72EX,34.17206,-118.60195,P,1200,1200,140,244,-128
2020-01-26 17:42:44Z.428,0xa9a1ad,N72EX,34.17206,-118.60195,P,1200,1200,140,244,-128
2020-01-26 17:42:44Z.762,0xa9a1ad,N72EX,34.17172,-118.60284,P,1200,1200,140,244,-128
2020-01-26 17:42:44Z.804,0xa9a1ad,N72EX,34.17181,-118.60256,P,1200,1200,140,244,-192
2020-01-26 17:42:46Z.452,0xa9a1ad,N72EX,34.1713,-118.60405,P,1200,1200,142,245,-128
2020-01-26 17:42:46Z.566,0xa9a1ad,N72EX,34.1716,-118.60319,P,1200,1200,140,242,128
2020-01-26 17:42:46Z.954,0xa9a1ad,N72EX,34.17114,-118.60442,P,1200,1200,144,224,192
2020-01-26 17:42:47Z.328,0xa9a1ad,N72EX,34.17102,-118.60474,P,1200,1200,141,245,-192
2020-01-26 17:42:47Z.358,0xa9a1ad,N72EX,34.1713,-118.60405,P,1200,1200,142,245,-128
2020-01-26 17:42:47Z.770,0xa9a1ad,N72EX,34.17114,-118.60442,P,1200,1200,142,245,-128
2020-01-26 17:42:48Z.324,0xa9a1ad,N72EX,34.17102,-118.60474,P,1200,1200,142,245,-64
2020-01-26 17:42:49Z.008,0xa9a1ad,N72EX,34.17091,-118.60509,P,1200,1200,140,244,-128
